c17f992398db67ef6b2990fe9d93075df5573faf
Episode 99	Average Score: 19.94	Best Score: 19.94
Episode 199	Average Score: 25.41	Best Score: 25.41
Episode 299	Average Score: 19.29	Best Score: 25.41
Episode 399	Average Score: 20.75	Best Score: 25.41
Episode 499	Average Score: 4.86	Best Score: 25.41
Episode 599	Average Score: 3.97	Best Score: 25.41
Episode 699	Average Score: 5.37	Best Score: 25.41
Episode 799	Average Score: 5.73	Best Score: 25.41
Episode 899	Average Score: 3.14	Best Score: 25.41
Episode 999	Average Score: 4.01	Best Score: 25.41
Episode 1099	Average Score: 6.25	Best Score: 25.41
Episode 1199	Average Score: 3.56	Best Score: 25.41
Episode 1299	Average Score: 3.07	Best Score: 25.41
Episode 1399	Average Score: 3.60	Best Score: 25.41
Episode 1499	Average Score: 3.99	Best Score: 25.41
Episode 1599	Average Score: 5.36	Best Score: 25.41
Episode 1699	Average Score: 3.61	Best Score: 25.41
Episode 1799	Average Score: 2.63	Best Score: 25.41
Episode 1899	Average Score: 3.52	Best Score: 25.41
Episode 1999	Average Score: 5.81	Best Score: 25.41
Episode 2099	Average Score: 4.95	Best Score: 25.41
Episode 2199	Average Score: 3.18	Best Score: 25.41
Episode 2299	Average Score: 4.92	Best Score: 25.41
Episode 2399	Average Score: 2.61	Best Score: 25.41
Episode 2499	Average Score: 4.50	Best Score: 25.41
Episode 2599	Average Score: 6.37	Best Score: 25.41
Episode 2699	Average Score: 4.09	Best Score: 25.41
Episode 2799	Average Score: 3.20	Best Score: 25.41
Episode 2899	Average Score: 4.85	Best Score: 25.41
Episode 2999	Average Score: 3.64	Best Score: 25.41
Episode 3099	Average Score: 3.09	Best Score: 25.41
Episode 3199	Average Score: 4.44	Best Score: 25.41
Episode 3299	Average Score: 2.22	Best Score: 25.41
Episode 3399	Average Score: 4.00	Best Score: 25.41
Episode 3499	Average Score: 5.82	Best Score: 25.41
Episode 3599	Average Score: 1.82	Best Score: 25.41
Episode 3699	Average Score: 2.63	Best Score: 25.41
Episode 3799	Average Score: 4.53	Best Score: 25.41
Episode 3899	Average Score: 2.23	Best Score: 25.41
Episode 3999	Average Score: 4.98	Best Score: 25.41
Episode 4099	Average Score: 4.47	Best Score: 25.41
Episode 4199	Average Score: 4.05	Best Score: 25.41
Episode 4299	Average Score: 3.53	Best Score: 25.41
Episode 4399	Average Score: 4.08	Best Score: 25.41
Episode 4499	Average Score: 5.32	Best Score: 25.41
Episode 4599	Average Score: 2.65	Best Score: 25.41
Episode 4699	Average Score: 5.05	Best Score: 25.41
Episode 4799	Average Score: 5.45	Best Score: 25.41
Episode 4899	Average Score: 5.74	Best Score: 25.41
Episode 4999	Average Score: 3.55	Best Score: 25.41
Episode 5099	Average Score: 2.70	Best Score: 25.41
Episode 5199	Average Score: 3.54	Best Score: 25.41
Episode 5299	Average Score: 4.47	Best Score: 25.41
Episode 5399	Average Score: 3.21	Best Score: 25.41
Episode 5499	Average Score: 4.87	Best Score: 25.41
Episode 5599	Average Score: 4.96	Best Score: 25.41
Episode 5699	Average Score: 1.78	Best Score: 25.41
Episode 5799	Average Score: 4.01	Best Score: 25.41
Episode 5899	Average Score: 2.74	Best Score: 25.41
Episode 5999	Average Score: 3.08	Best Score: 25.41
Episode 6099	Average Score: 3.55	Best Score: 25.41
Episode 6199	Average Score: 3.15	Best Score: 25.41
Episode 6299	Average Score: 2.66	Best Score: 25.41
Episode 6399	Average Score: 2.68	Best Score: 25.41
Episode 6499	Average Score: 7.98	Best Score: 25.41
Episode 6599	Average Score: 5.24	Best Score: 25.41
Episode 6699	Average Score: 3.99	Best Score: 25.41
Episode 6799	Average Score: 3.12	Best Score: 25.41
Episode 6899	Average Score: 3.58	Best Score: 25.41
Episode 6999	Average Score: 3.92	Best Score: 25.41
Episode 7099	Average Score: 7.12	Best Score: 25.41
Episode 7199	Average Score: 4.07	Best Score: 25.41
Episode 7299	Average Score: 5.40	Best Score: 25.41
Episode 7399	Average Score: 2.71	Best Score: 25.41
Episode 7499	Average Score: 3.96	Best Score: 25.41
Episode 7599	Average Score: 5.46	Best Score: 25.41
Episode 7699	Average Score: 2.68	Best Score: 25.41
Episode 7799	Average Score: 3.49	Best Score: 25.41
Episode 7899	Average Score: 3.55	Best Score: 25.41
Episode 7999	Average Score: 3.13	Best Score: 25.41
